Nombre: 843;Num;Nom;NumType;COMMUNE;Population_totale;EMPLOIS_TOTAUX;ENF;EPCI;IRIS
1;1;BORDEAUX;1;BORDEAUX;858,00;259;17,00;CUB;1104
2;2;BORDEAUX;1;BORDEAUX;645,00;587;10,00;CUB;503
3;3;BORDEAUX;1;BORDEAUX;796,00;4769;16,00;CUB;507
4;4;BORDEAUX;1;BORDEAUX;930,00;1632;32,00;CUB;309
5;5;BORDEAUX;1;BORDEAUX;2661,00;378;90,00;CUB;604
6;6;BORDEAUX;1;BORDEAUX;924,00;317;26,00;CUB;605
7;7;BORDEAUX;1;BORDEAUX;1094,00;710;21,00;CUB;506
8;8;BORDEAUX;1;BORDEAUX;1236,00;305;36,00;CUB;609
9;9;BORDEAUX;1;BORDEAUX;840,00;129;25,00;CUB;608
10;10;BORDEAUX;1;BORDEAUX;671,00;8308;20,00;CUB;1005
11;11;BORDEAUX;1;BORDEAUX;976,00;193;25,00;CUB;1106
12;12;BORDEAUX;1;BORDEAUX;2174,00;40;85,00;CUB;1302
13;13;BORDEAUX;1;BORDEAUX;681,00;1069;31,00;CUB;1302
14;14;BORDEAUX;1;BORDEAUX;2165,00;377;91,00;CUB;1304
15;15;BORDEAUX;1;BORDEAUX;878,00;279;34,00;CUB;706
16;16;BORDEAUX;1;BORDEAUX;537,00;16;21,00;CUB;706
17;17;BORDEAUX;1;BORDEAUX;1381,00;381;73,00;CUB;202
18;18;BORDEAUX;1;BORDEAUX;273,00;806;13,00;CUB;204
19;19;BORDEAUX;1;BORDEAUX;842,00;534;16,00;CUB;506
20;20;BORDEAUX;1;BORDEAUX;2121,00;5760;51,00;CUB;508
21;21;BORDEAUX;1;BORDEAUX;2903,00;8079;74,00;CUB;501
22;22;BORDEAUX;1;BORDEAUX;2254,00;570;28,00;CUB;1102
23;23;BORDEAUX;1;BORDEAUX;2737,00;1367;61,00;CUB;1103
24;24;BORDEAUX;1;BORDEAUX;2275,00;1515;47,00;CUB;1105
25;25;BORDEAUX;1;BORDEAUX;2732,00;369;75,00;CUB;1101
26;26;BORDEAUX;1;BORDEAUX;2349,00;305;45,00;CUB;1104
27;27;BORDEAUX;1;BORDEAUX;4854,00;1635;95,00;CUB;502
28;28;BORDEAUX;1;BORDEAUX;1620,00;2930;25,00;CUB;503
29;29;BORDEAUX;1;BORDEAUX;2230,00;2881;34,00;CUB;504
30;30;BORDEAUX;1;BORDEAUX;2713,00;1831;53,00;CUB;505
31;31;BORDEAUX;1;BORDEAUX;1736,00;3178;36,00;CUB;507
32;32;BORDEAUX;1;BORDEAUX;1467,00;972;50,00;CUB;309
33;33;BORDEAUX;1;BORDEAUX;3869,00;1988;106,00;CUB;302
34;34;BORDEAUX;1;BORDEAUX;7662,00;5215;282,00;CUB;301
35;35;BORDEAUX;1;BORDEAUX;3634,00;1513;165,00;CUB;303
36;36;BORDEAUX;1;BORDEAUX;3964,00;1344;134,00;CUB;313
37;37;BORDEAUX;1;BORDEAUX;3783,00;1964;144,00;CUB;312
38;38;BORDEAUX;1;BORDEAUX;3422,00;3481;126,00;CUB;305
39;39;BORDEAUX;1;BORDEAUX;3510,00;426;158,00;CUB;307
40;40;BORDEAUX;1;BORDEAUX;2838,00;552;177,00;CUB;306
41;41;BORDEAUX;1;BORDEAUX;3276,00;3579;198,00;CUB;308
42;42;BORDEAUX;1;BORDEAUX;2579,00;295;93,00;CUB;310
43;43;BORDEAUX;1;BORDEAUX;2253,00;711;79,00;CUB;311
44;44;BORDEAUX;1;BORDEAUX;2235,00;4127;69,00;CUB;602
45;45;BORDEAUX;1;BORDEAUX;3600,00;528;116,00;CUB;601
46;46;BORDEAUX;1;BORDEAUX;2442,00;4176;69,00;CUB;603
47;47;BORDEAUX;1;BORDEAUX;2989,00;951;71,00;CUB;606
48;48;BORDEAUX;1;BORDEAUX;3007,00;4389;97,00;CUB;604
49;49;BORDEAUX;1;BORDEAUX;1752,00;593;41,00;CUB;605
50;50;BORDEAUX;1;BORDEAUX;993,00;317;19,00;CUB;506
51;51;BORDEAUX;1;BORDEAUX;1627,00;217;48,00;CUB;609
52;52;BORDEAUX;1;BORDEAUX;2058,00;1086;60,00;CUB;608
53;53;BORDEAUX;1;BORDEAUX;3399,00;826;118,00;CUB;1001
54;54;BORDEAUX;1;BORDEAUX;3831,00;8795;122,00;CUB;1003
